before,-0.038
contributed,0.667
cards,0.136
numerous,0.244
head,0.06
strongly,0.26
category,0.142
money,0.688
area,-0.02
reported,-0.164
financial,0.334
completion,0.312
shipping,0.244
measured,0.084
employment,0.5
comedy,0.836
together,0.748
camp,0.244
rise,0.334
learn,0.666
emergency,-0.6
newspaper,0.204
cut,-0.02
recognized,0.75
easy,0.73
animated,0.646
involved,0
largest,0
removal,-0.51
zone,0.062
state,0.124
politician,-0.354
frequency,0.122
fear,-0.854
representation,0.354
taught,0.628
connecticut,0
landscape,0.438
spanish,0
care,0.458
among,0.064
giving,0.59
traffic,-0.354
attacking,-0.448
writer,0.612
positive,0.918
horror,-0.77
articles,0.104
corresponding,0.48
forum,0.112
celebrated,0.75
hit,-0.53
hungarian,0.074
key,0.23
titled,0.354
sir,0.244
policies,0
scientific,0.306
manager,0.25
secondary,0.272
fell,-0.49
begun,0.354
wife,0.772
remaining,-0.102
case,-0.146
passage,-0.142
budget,0.286
justice,0.52
test,-0.102
warning,-0.542
along,0.206
highway,0.28
administrative,0.084
spread,0.14
achievement,0.792
armenian,0
die,-0.938
operations,-0.04
beginning,0.632
intention,0.062
slightly,-0.06
integrated,0.667
measure,0.02
album,0.27
give,0.5
model,0.214
owner,0.552
completed,0.646
stadium,0.27
yellow,0.342
section,0
stars,0.592
eighth,0.062
offer,0.5
faith,0.666
rebuilt,0.667
victoria,0.792
wearing,0.292
grown,-0.042
baptist,0
district,-0.124
piece,0.292
defeated,-0.792
voters,0.042
executive,0.408
county,-0.042
trail,0.2
shall,0.02
rich,0.764
aged,-0.73
mayor,-0.062
publication,0.098
officer,0.084
heritage,0.684
both,0.036
resigned,-0.52
traditional,0.354
situated,0.084
commanding,0.124
cabinet,0.104
expanded,0.52
seat,0.084
toward,0.112
parent,0.624
weekend,0.688
transport,0.226
influential,0.798
pioneer,0.592
middle,-0.084
assist,0.666
motion,0.334
within,-0.072
file,-0.04
managed,0.667
constitution,0.18
whole,0.306
incident,-0.832
husband,0.542
school,0.53
hero,0.88
advanced,0.688
amendment,0.062
removed,-0.714
teaching,0.644
extent,0.292
industrial,-0.062
classic,0.38
typical,0.27
earliest,0.5
shared,0.667
shape,0.184
access,0.428
love,0.996
minimum,-0.24
swedish,0
night,0.196
roughly,-0.104
ceo,0.19
suburb,-0.292
patent,0.448
trial,-0.124
comics,0.38
valuable,0.798
southern,0.104
tall,0.45
top,0.52
pick,0
steps,0.022
distribution,0.27
longer,0.034
endemic,-0.188
applied,0.583
province,0.428
ford,0.042
gone,-0.416
roll,-0.062
renowned,0.688
today,0.612
plan,0.292
direction,0.481
exclusively,0.042
tv,0.244
job,0.388
experienced,0.542
junior,0.27
however,-0.25
result,0.624
established,0.592
meaning,0.326
largely,0.083
provide,0.666
bird,0.458
net,-0.118
seven,0.344
facility,0.25
we,0.267
fifth,0
effort,0.396
security,0.674
federal,0.06
lyrics,0.164
means,0.23
until,0
technology,0.552
card,0.062
inner,0.102
smaller,-0.4
interior,0.236
wildlife,0.312
daughter,0.816
seen,0
protein,0.5
accounts,0.184
participated,0.625
arranged,0.396
proposal,0.776
eyes,0.52
tool,-0.02
part,0.326
already,0
vary,0.042
sold,0.096
notable,0.52
bound,-0.166
limit,-0.146
rule,0.134
poor,-0.688
provided,0.742
headquarters,0.23
attempted,0.188
ban,-0.708
institute,0.208
gave,0
provincial,0.29
tribute,0.368
defence,-0.034
founding,0.396
gender,0.376
isolated,-0.558
plus,1
activities,0.667
green,0.26
open,0.24
powerful,0.566
assistance,0.312
carry,0.27
prepare,0.312
lawyer,0.042
coach,0.266
departure,0.146
conservative,0.23
represented,0.448
rose,0.73
arms,-0.072
twelve,-0.02
sexual,0.168
judicial,-0.244
identify,0.27
initiative,0.666
these,0
near,0.148
commerce,0.292
private,0.322
perceived,0
uncle,0.306
ratio,0.12
cultural,0.604
square,0.018
typically,0.138
gardens,0.55
exchange,0.48
bid,0.52
medieval,0.12
text,0.208
message,0.3
policy,-0.352
double,0.354
special,0.688
explain,0.438
alternate,0.25
entertainment,0.694
appointment,0.376
now,0.226
tourism,0.646
reaction,-0.06
produce,0.816
bureau,0.124
us,0.333
manufacturer,0.376
second,-0.02
huge,0.146
order,0.56
awareness,0.368
mid,0
get,0.48
choice,0.49
remote,-0.084
earn,0.712
rival,-0.547
office,-0.146
materials,0.266
scale,-0.38
percentage,-0.062
issued,0
personality,0.792
novels,0.708
side,-0.122
great,0.916
needed,0.354
draft,-0.124
satellite,0.124
indians,0.037
diverse,0.124
earlier,0.124
around,0.034
coastal,0.208
tie,0.326
timber,-0.336
clean,0.654
annually,0
universe,0.388
set,0.042
territories,0
plate,0.166
showing,0.244
fame,0.792
rural,0.124
they,0
this,0
colors,0.75
versus,-0.38
agricultural,0.372
folk,0.326
domain,0.146
initiated,0.52
story,0.306
chose,0.104
body,0.388
shop,0.45
congressional,0.104
failing,-0.75
honorary,0.77
persons,0.738
ending,-0.312
mark,-0.018
continuing,0.334
art,0.624
wright,0.08
social,0.612
ensure,0.474
mediterranean,0.326
trade,0.122
claim,-0.49
priest,0.122
fled,-0.552
wins,1
sun,0.754
statistics,0
guest,0.438
permitted,0.73
version,0.208
fiction,-0.124
winning,0.91
scheme,0.042
duo,0.055
opera,0.428
difficult,-0.53
reform,0.062
obtain,0.52
hair,0.164
southwest,-0.188
glass,-0.02
autonomous,0.733
crew,0.208
happy,0.985
expansion,0.552
educated,0.632
dealing,0.448
store,0.292
briefly,0.372
opening,0.334
person,0.292
smith,0.354
there,0
senator,-0.218
rescue,0.612
charged,0
jurisdiction,-0.04
function,0.388
subject,0.204
iron,-0.104
confederate,0.102
press,0.104
contribution,0.708
buildings,0.164
baby,0.674
protection,0.726
water,0.624
critic,-0.472
silver,0.368
harbor,0.188
females,0
space,0.6
classification,0.166
champion,0.78
addition,0.124
tells,0
event,0.49
theatre,0.388
crisis,-0.584
way,-0.04
favorite,0.77
demand,-0.416
opposite,-0.53
aside,-0.064
wave,0.244
secured,0.741
bit,-0.146
birth,0.792
settled,0.042
joining,0.51
failure,-0.666
latin,0.095
exception,-0.062
duties,-0.333
unit,0.124
trading,0.27
dry,-0.274
movies,0.448
outstanding,0.796
shut,-0.52
lower,-0.346
should,0.083
officially,0
yard,-0.026
studies,0.542
moving,-0.042
conditions,0.102
jack,-0.026
supplies,0.396
present,0.448
italian,0.208
approximately,0.244
decision,0.292
researchers,0.667
commonly,0.208
active,0.694
householder,0.632
run,0.084
create,0.572
bomb,-0.666
civil,0.042
out,0
coal,-0.28
assumed,0.224
expected,0.458
islamic,0
lived,0
subsequent,-0.102
serial,-0.062
colour,0.5
phone,0.458
fair,0.624
basic,0.286
show,0.346
republican,-0.204
dated,-0.333
flowers,0.75
visible,0.5
jazz,0.354
when,0
youth,0.876
universal,0.604
bar,0
labor,0.188
bank,0.124
all,0
eldest,0.25
living,0.722
cricket,-0.154
radio,0.146
legislature,0.08
waiting,-0.522
heart,0.654
jury,-0.042
allied,0.428
horse,0.27
incumbent,-0.208
cardinal,0.166
communication,0.674
trained,0.542
down,-0.584
firm,0.27
met,0.358
items,0.084
speaker,0.208
olympic,0.566
unincorporated,-0.095
unlike,-0.122
lands,0.188
month,0.376
families,0.833
occupation,0.124
formally,0.519
rifle,-0.342
driver,0.106
level,0.244
house,0.174
gallery,0.318
century,-0.186
producing,0.264
medicine,0.416
effect,0.14
band,0.296
secretary,0.224
acres,0.02
contract,0.188
starred,0.889
memorial,0.204
reduction,-0.27
station,0.376
nearest,-0.034
funds,0.266
czech,0
producer,0.118
abandoned,-0.908
animal,0.042
scholar,0.388
added,0.124
line,0.082
accommodate,0.688
pearl,0.81
disc,0.244
starring,0.708
tournament,0.388
insurance,0.428
symbol,0.286
life,0.836
corner,-0.2
saturday,0.408
slow,-0.286
latter,0
another,-0.1
authorities,-0.042
incorporated,0.542
buried,-0.734
pilot,0.376
lack,-0.5
hip,-0.104
hour,0.104
bought,0.034
took,0
was,0
farm,0.562
arm,0.104
very,0.143
guide,0.376
president,0.354
fitted,0.014
late,-0.51
style,0.49
railway,0.226
transfer,0.404
grand,0.796
found,0.666
seeing,0.593
alliance,0.392
grow,0.828
apart,-0.466
television,0.266
secret,-0.042
original,0.53
opinion,0.188
prestigious,0.979
chain,-0.244
large,0.408
draw,0.408
use,-0.124
sacred,0.666
genetic,0.124
able,0.572
religion,0.292
national,0.396
derived,0.083
aware,0.312
emotional,0.558
project,0.45
broadway,0.667
spain,0.667
village,0.368
engaged,0.674
feature,0.334
economy,0.166
conference,0.376
mission,0.53
pool,0.25
temperature,0.042
improve,0.666
something,0
point,-0.02
decided,0
own,0.328
going,0.048
strategic,0.643
organ,0.02
communist,-0.47
combination,0.416
united,0.562
cancer,-0.896
cause,-0.062
important,0.654
colony,0.432
believe,0.562
threat,-0.825
revolutionary,0.27
noted,0.23
close,-0.416
screen,0.34
premier,0.51
fine,0.646
reportedly,0
sentenced,-0.708
closed,-0.52
virgin,0.244
year,0.084
fewer,-0.138
successor,0.458
begin,0.354
mile,0.042
bright,0.78
movement,0.312
modified,0.122
surviving,0.292
back,-0.124
residential,0.44
losing,-0.848
capture,-0.286
bass,-0.146
told,-0.096
brand,0.124
hold,-0.104
communities,0.625
force,0.224
college,0.4
dark,-0.604
korean,0
athletic,0.714
graduated,0.741
consist,0.646
certain,0.52
interpretation,0.354
manage,0.12
byzantine,0.092
rejected,-0.796
philosophy,0.368
study,0.306
fashion,0.654
nearly,0.056
column,-0.04
occurred,0
carrier,0.066
formal,0.47
hearing,0.338
day,0.438
example,0.084
admitted,0.44
involvement,0.52
hand,0.084
refer,0.012
chairman,0.312
twice,0.234
judge,0.02
ottoman,0.062
those,0
soft,0.52
equal,0.562
rest,0.814
video,0.292
possession,0.354
recently,0
gain,0.834
fishing,0.354
internal,-0.122
influence,0.244
eligible,0.5
stopped,0
central,0.28
regular,-0.13
decade,0.062
apply,0.224
proposed,0.333
surrounding,0.062
center,0.286
poems,0.666
broke,-0.51
forces,0.102
notably,0.584
pictures,0.306
written,0.2
connected,0.632
edition,0.084
playoff,0.244
northwestern,-0.042
golf,0.146
during,0
famous,0.832
quickly,0.568
machine,0.02
guy,0.166
command,-0.146
overseas,0.083
sole,-0.146
revolution,-0.166
sustained,0.298
books,0.458
go,0.02
exist,0.714
experience,0.654
onto,0
boundary,0.122
bachelor,0.167
attack,-0.428
entire,0.378
architect,0.552
vast,0.04
row,-0.146
known,0.194
walker,0.102
find,0.548
relation,0.714
dean,0.224
grammar,0.12
early,0.266
eastern,0.042
account,0.062
scene,0.14
border,-0.188
prior,-0.064
labour,0.066
perhaps,0
artistic,0.604
adult,0.63
peak,0
progressive,0.51
junction,-0.02
shot,-0.712
rare,-0.208
works,0.552
specialized,0.714
heavily,0.084
look,0.438
running,0.46
business,0.376
conclusion,0.23
frequently,0.192
formation,0.23
based,0.111
beyond,-0.034
variety,0.428
root,0.204
ship,0.292
express,0.52
against,-0.552
growth,0.834
preserved,0.354
goals,0.438
frame,-0.062
china,0.122
nick,0.108
island,0.49
agreed,0.594
van,0.122
performance,0.5
intermediate,-0.04
drummer,0.292
defending,0.208
maintain,0.368
wing,0.124
electronic,0.142
global,0.166
high,0.368
diplomatic,0.306
solution,0.58
each,0.125
previously,0.188
faced,0
friends,0.858
khan,-0.074
improved,0.838
plane,0.02
tax,-0.48
extend,0.292
responsibility,0.52
source,0.48
monument,0.666
began,-0.072
army,-0.166
conversion,-0.04
domestic,0.458
territorial,-0.19
processing,0.452
don,0.292
big,0.604
documents,0.06
created,0.667
innings,0.146
easily,0.77
achieved,0.792
naval,0.084
concentration,0.47
guitar,0.688
focus,0.38
born,0.73
arrival,0.356
spending,-0.334
longest,-0.3
supply,0.416
architectural,0.458
must,-0.184
spent,-0.408
planet,0.396
evolved,0.667
do,0.34
combat,-0.396
instrumental,0.48
service,0.368
drove,0.082
facing,0.208
although,-0.066
climate,0.27
collection,0.45
tropical,0.48
mass,-0.084
pattern,-0.042
changed,0.188
everything,0
survived,0.667
ward,-0.062
fantasy,0.76
gothic,-0.606
prominent,0.352
core,0.442
meeting,0.5
course,0.214
escape,-0.266
commune,0
break,0.22
interstate,0.04
combined,0.244
accept,0.694
recent,0.184
mind,0.3
estimated,0
goods,0.776
conflict,-0.33
retired,-0.46
nothing,-0.333
success,0.918
praised,0.9
ice,-0.12
movie,0.584
loan,0.104
coast,0.438
championship,0.666
cavalry,0.334
banned,-0.667
storm,-0.624
identical,0.27
qualify,0.46
merchant,0.35
originated,0
hindu,0
possible,0.376
collected,0.14
voice,0.188
captured,0
heat,0.068
select,0.23
vessel,-0.02
martial,-0.04
resources,0.208
effective,0.688
stage,0.184
volunteers,0.64
their,0
too,0
getting,0.167
five,0.02
science,0.176
politics,-0.5
submitted,-0.292
thirty,0.124
belief,0.792
cover,-0.27
fall,-0.646
electric,-0.084
drop,-0.042
struck,-0.408
cape,0.062
indigenous,0
statue,0.084
calls,0.216
despite,-0.42
strong,0.824
infantry,0.062
breeding,0.334
accompanied,0
civic,0.306
possibility,0.649
lowest,-0.376
application,0.292
outside,-0.212
reign,0.612
exposure,0.14
restored,0.784
introduced,0
riding,0.388
see,0.27
share,0.518
can,0.324
expensive,-0.354
carbon,0.208
capital,0.04
mechanism,0.146
duty,0.166
entirely,0
structural,0.164
direct,0.586
perform,0.53
deep,-0.02
as,0
moth,-0.354
split,-0.312
raised,0.312
defensive,0.084
maximum,0.448
register,-0.02
motor,0.062
reflect,0.341
primarily,0.067
universities,0.667
library,0.552
earth,0.5
attend,0.3
substantial,0.18
palace,0.756
separated,-0.667
behavior,0.188
period,-0.208
times,-0.02
tradition,0.516
south,0.124
from,0
genre,0.04
northern,0.14
developing,0.666
approach,0.224
add,0.456
walking,0.416
translation,0.266
author,0.55
let,-0.146
mainly,0
countries,0
minister,0.094
popularity,0.792
planned,0.48
reference,0.266
equipment,0.49
documentary,0.244
empire,0.376
sell,0.236
sent,0
professor,0.312
make,0.368
preferred,0.667
russian,0.048
send,0.326
public,0.184
situation,0.062
settlement,0.27
determined,0.469
medium,0.118
club,0.292
power,0.438
independent,0.774
lost,-0.635
scheduled,0.333
fictional,-0.14
hospital,-0.354
sector,0.188
adventure,0.834
desire,0.792
minute,0.164
fight,0.062
submarine,0.144
credit,0.346
japan,0.334
usually,0
expert,0.552
grades,0.042
associate,0.624
jay,0.062
taken,0
what,0
remain,0.418
want,0.342
rating,0.326
basin,0.104
drama,-0.14
roman,0.23
marked,0.184
narrow,-0.48
wall,-0.166
wrote,0.13
eight,0.08
alone,-0.334
required,0.166
sitting,0.122
individual,0.254
distance,-0.534
adjacent,0.29
speech,0.312
necessary,0.5
range,-0.02
dropped,-0.444
responsible,0.674
exhibition,0.396
home,0.708
highest,0.542
acquired,0.074
monthly,0.244
referring,0
persian,0
drugs,-0.666
guard,0.184
distinctive,0.77
dam,-0.5
shopping,0.83
became,0
correct,0.714
travel,0.862
food,0.776
others,0.333
weight,-0.1
charge,0.02
significant,0.654
describe,0.084
right,0.48
website,0.23
plain,0
friendly,0.834
approval,0.708
brick,-0.566
live,0.76
footballer,0.667
plot,-0.062
feet,0.02
arab,0
directly,0.494
mountain,0.396
landing,0.104
tree,0.34
abuse,-0.858
feeling,0.612
mill,0.062
brain,0.334
agency,-0.08
data,0
triple,0.17
quite,-0.25
engineer,0.438
he,0.611
quality,0.618
constitutional,0.266
recipient,0.208
peaked,0.354
magnetic,0.224
rolling,0.02
foreign,0.146
township,0.062
commercial,0.612
link,-0.146
concern,-0.5
angle,0.041
era,0.23
gang,-0.566
trophy,0.894
lead,-0.354
poem,0.62
full,0.204
himself,0
flag,0.184
lay,0.042
jimmy,0.158
advice,0.396
campus,0.208
veteran,0.12
opportunities,0.963
carried,-0.02
dramatic,-0.266
experimental,-0.166
originally,0
actual,0.458
subsequently,-0.24
fast,0.25
rank,0.062
unusual,-0.142
upon,-0.038
spoke,0.27
culture,0.506
creation,0.854
proper,0.592
described,0
leave,-0.25
designed,0.49
sports,0.666
senate,-0.02
majority,0.368
radical,0
advance,0.346
revenue,0.746
color,0.572
denied,-0.624
effectively,0.889
grey,-0.306
element,0.062
unable,-0.736
just,0.63
navy,0.062
castle,0.36
ten,0.124
training,0.428
legal,0.306
sugar,0.792
pair,0.104
snow,0.334
thing,-0.102
forced,-0.64
fruit,0.792
berlin,0.184
native,0.27
intended,-0.188
where,0
awards,0.936
learning,0.666
amount,0.124
clubs,0.446
door,0.098
expression,0.58
take,0.656
charity,0.84
better,0.778
post,0.04
impact,-0.062
nation,0.188
grounds,0.334
retirement,-0.5
actively,0.667
conduct,-0.094
basketball,0.628
article,0.188
receiving,0.438
cattle,0.244
former,0.094
king,0.354
featured,0.619
represent,0.562
aspects,-0.122
kingdom,0.428
air,0.416
successfully,1
step,0.062
goes,0
low,-0.416
sequence,0.086
credited,0.562
sessions,0.292
light,0.542
establishment,0.38
fuel,-0.11
phrase,0.26
past,-0.02
membership,0.396
visual,0.626
federation,0.266
encouraged,0.906
clear,0.714
joint,0.23
generation,0.806
manner,0.236
total,0.542
tribe,0.328
lieutenant,0.188
million,0.552
greater,0.51
after,0.234
tenth,0.02
december,0.48
pennsylvania,0
lord,0.236
