include,0.458
balance,0.368
apparently,0.062
device,0.124
inside,0.224
series,0.244
singing,0.77
concert,0.876
indicated,0
almost,-0.072
comprehensive,0.592
tennis,0.244
concept,0.146
digital,0.48
southeastern,0.292
ownership,0.256
society,0.348
hope,0.854
think,0.572
serve,0.244
environment,0.292
sale,0.294
crystal,0.236
municipal,0.25
also,0
opposed,-0.816
parish,0.396
bishop,0.189
agent,-0.04
map,0.122
stream,-0.102
differences,-0.27
note,0.188
chapel,0.146
good,0.876
thought,0.56
product,0.292
actress,0.266
box,0
tunnel,-0.376
park,0.632
transferred,-0.04
component,0.062
speed,0.438
lines,0.084
arabic,0
replaced,-0.37
maintenance,0.184
restricted,-0.448
leading,0.646
increase,0.62
influenced,0
region,0.08
penalty,-0.876
content,0.528
process,0.02
knight,0.56
acquisition,0.396
literary,0.438
extremely,0.27
orchestra,0.416
piano,0.408
converted,0.326
extreme,-0.364
seem,-0.058
opportunity,0.938
mine,0.376
theme,0.082
episode,0.438
schedule,0.02
meet,0.52
participate,0.51
mother,0.862
score,0.34
lane,-0.102
brown,-0.208
museum,0.584
criminal,-0.958
novel,0.404
relevant,0.438
substitute,-0.146
block,-0.428
none,-0.552
simply,0.07
housing,0.552
investigation,0.062
departed,-0.51
answer,0.074
worth,0.744
prepared,0.42
string,-0.23
historian,0.376
dual,0.146
sky,0.916
characteristic,0.166
hundred,0.208
medal,0.708
spot,0.02
buy,0.542
chosen,0.73
reasons,0.166
more,0.667
directed,0.084
occasionally,0.076
christ,0.562
object,0.062
episcopal,0.084
blood,-0.562
constituency,0
enter,0.416
formula,0.042
between,-0.032
current,0.25
reason,0.562
complete,0.5
courts,-0.266
licensed,0.667
caught,-0.552
hidden,-0.584
travelled,0.667
metropolitan,-0.226
detailed,0.206
format,0.124
league,0.312
fundamental,0.416
squadron,-0.062
composer,0.644
university,0.47
investment,0.44
jesus,0.6
rabbi,-0.082
chair,0.124
gun,-0.706
union,0.708
clinical,-0.326
collegiate,0.184
waste,-0.918
designated,0
senior,0.122
solid,0.501
ride,0.612
rear,-0.082
ready,0.54
connect,0.448
been,0
ken,-0.124
music,0.666
missile,-0.52
designer,0.75
singer,0.604
someone,0.148
on,0
only,0
gaining,0.674
have,0.514
nature,0.714
question,0.02
facilities,0.667
declared,0.167
count,0.188
centuries,0
elevated,0.408
popular,0.76
some,0
evidence,0
meant,-0.108
target,0.266
heavy,-0.5
blue,0.292
activity,0.402
temporarily,0
rapidly,0.095
cross,-0.104
learned,0.408
hear,0.52
specifically,0.048
norway,0.417
permission,0.224
trip,0.75
ad,0.042
wood,-0.012
pressure,-0.28
themselves,0
slave,-0.658
depression,-0.938
football,0.51
aircraft,0.292
news,0.266
hull,0.084
perfect,0.96
position,0.208
hollywood,0.31
mental,-0.02
located,0
location,0.23
telephone,0.388
at,0
definition,0.146
queen,0.75
congregation,0.122
spirit,0.572
prince,0.776
victor,0.604
filed,0
lee,0.02
nearby,0.034
contrast,-0.04
uniform,0.14
percent,-0.06
unsuccessful,-0.72
visiting,0.458
far,-0.482
mean,-0.12
baron,0.04
previous,0.042
indoor,0.23
joined,0.334
soldier,-0.216
saint,0.624
through,0
habitat,0.266
mostly,0
historically,0.083
ideal,0.604
people,0.208
pursue,-0.166
student,0.268
ask,0.062
class,0.312
alleged,-0.27
operate,0.164
bay,0.438
partial,-0.142
presents,0.562
collaboration,0.77
status,0.316
that,0
protect,0.646
neighboring,0.312
analysis,0.458
party,0.896
presence,0.748
ferry,0.208
did,0
missing,-0.388
stayed,-0.006
build,0.542
leads,0.06
entry,0.104
fairly,0.58
vehicle,0.282
minority,-0.38
of,0
injury,-0.902
framework,-0.082
february,0
publisher,0.142
permanent,0.49
resolution,0.513
mobile,0.23
reality,0.572
actually,0
liberation,0.49
floor,-0.14
committed,0.42
international,0.6
indicating,0.49
image,0.306
rather,-0.242
words,0.42
contain,0.084
destroy,-0.908
vice,-0.408
got,0
pass,0.02
ski,0.368
might,0.143
ninth,-0.02
demonstrated,0.234
transmission,0.376
limited,-0.542
driven,0.242
cannot,-0.466
courses,0.47
elementary,0.188
marine,0.266
launch,0.368
bush,-0.174
debut,0.612
war,-0.956
ruling,-0.646
soil,-0.3
advisory,0.312
parallel,0.136
under,0
surgery,-0.428
household,0.562
abbey,0.16
industry,0.3
essential,0.624
completing,0.228
long,0.041
suffering,-0.96
defined,0.34
gulf,0.04
girls,0.333
know,0.53
pure,0.622
copies,0
him,0
bodies,0
administration,0.25
principles,0.396
cave,-0.082
unique,0.646
mall,0.266
struggle,-0.27
group,0.146
such,0
output,0.208
external,-0.021
editor,0.544
atlantic,0
consistent,0.572
passing,-0.084
northeast,0.124
change,0.25
blues,-0.062
southwestern,0
liberal,0.13
continental,-0.028
height,0.354
writing,0.388
turned,0.26
convinced,0.5
anyone,-0.104
artificial,-0.388
decide,0.312
greek,0.667
technique,0.52
amongst,-0.034
translated,0.667
fish,0.02
athletics,0.662
reach,0.438
hockey,0.13
released,0.688
wine,0.584
immediate,0.312
seed,0.312
phd,0.286
divided,-0.458
architecture,0.64
existing,0.604
merger,0.184
practical,0.42
safety,0.416
engine,0.23
research,0.266
department,0.416
journalist,0.084
teacher,0.52
ranking,0.08
put,0.04
locally,0
song,0.708
daily,0.306
northeastern,0
rapid,0.334
yet,0
assets,0.334
scored,0.667
programming,0.2
wealthy,0.854
adaptation,0.326
theory,0.166
thinking,0.44
challenge,-0.062
minor,-0.5
throughout,-0.066
safe,0.796
ocean,0.646
hot,-0.02
rain,0.084
freedom,0.938
ambassador,0.302
eventually,0
agencies,0.083
hunting,-0.104
brief,-0.062
ground,-0.204
phase,0.29
enemy,-0.73
kind,0.836
develop,0.542
billy,-0.02
association,0.49
foundation,0.542
and,0
journal,0.376
psychological,-0.188
expand,0.584
problem,-0.876
award,0.73
ongoing,0.348
natural,0.708
copper,0.16
sporting,0.834
diameter,-0.146
roof,0.204
oldest,-0.228
sister,0.832
rarely,-0.184
names,0.083
suit,0.552
whilst,0.02
named,0.124
composed,0.368
instead,-0.068
kentucky,0
master,0.388
oregon,0
follow,0.334
cooperation,0.694
extra,0.312
wounded,-0.77
dangerous,-0.96
offering,0.376
new,0.834
attached,0.124
allow,0.396
finished,0.02
again,-0.096
gap,-0.208
become,0.282
announced,0.095
upper,0.48
boys,0.333
lie,-0.74
last,-0.414
mixed,0.02
page,0.354
preserve,0.674
indicate,0.188
council,0.75
defense,0.304
educational,0.49
deputy,-0.142
women,0.667
garden,0.54
borough,-0.142
wedding,0.75
dream,0.688
occupied,-0.326
restoration,0.51
character,0.334
probably,0
move,0.312
statistical,0.428
solar,0.244
parliamentary,-0.02
education,0.792
single,-0.418
australian,0.042
star,0.666
covered,0.124
leadership,0.74
temporary,-0.084
violent,-0.776
thus,0
inspired,0.934
east,0.02
operated,0
save,0.54
quarter,0.136
undergraduate,0.166
editorial,0.166
proved,0.524
magazine,0.23
locomotive,0.084
mouth,0.468
session,0.02
falling,-0.596
earl,0.164
distinction,0.168
modern,0.71
continued,0.27
skin,0.138
truck,0.062
letters,0.326
closely,0
remains,0.22
median,-0.082
relative,0
offices,-0.062
family,0.936
numbers,-0.188
brother,0.646
interview,0.146
development,0.654
